Altitude_ft,ISA_Deviation_K,N2_RPM,Degradation_Index,Fuel_Flow_kgs,P2_Pa,T2_K,P3_Pa,T3_K,W3_kgs,P4_Pa,T4_K,P5_Pa,T5_K,P9_Pa,T9_K,Mach_9,Stall_Margin
0.0,35.0,35000.0,0.8,0.25,101325.0,323.15,204358.72775378008,346.6345262227785,1.515615512199402,196184.37864362888,1500.0,29427.656796544332,1261.3682074367653,101325.0,1261.3682074367653,0.0,0.8110345928470079
10000.0,-20.0,20000.0,0.0,0.16428571428571428,69680.54869120053,248.33799999999997,85325.05896216043,253.41929751999137,0.2836679893359216,81912.056603674,1328.5714,12286.8084905511,1261.250395203176,69680.54869120053,1261.250395203176,0.0,0.7898420700557461
10000.0,-20.0,28000.0,0.0,0.21000000000000002,69680.54869120053,248.33799999999997,114770.95043565021,261.0449047758026,0.5341873152347615,110180.1124182242,1420.0,16527.01686273363,1249.630475024001,69680.54869120053,1249.630475024001,0.0,0.8382640119297577
10000.0,-20.0,33000.0,0.0,0.2385714285714286,69680.54869120053,248.33799999999997,133174.66517378323,264.9562597054243,0.7305315969693478,127847.67856683189,1477.1428,19177.151785024784,1251.5871067670125,69680.54869120053,1251.5871067670125,0.0,0.8591419102645219
10000.0,-20.0,35000.0,0.0,0.25,69680.54869120053,248.33799999999997,140536.16758836075,266.3856546769279,0.8176351511289699,134914.72088482633,1500.0,20237.208132723947,1253.681865940995,69680.54869120053,1253.681865940995,0.0,0.8660970574246983
10000.0,-20.0,20000.0,0.2,0.16428571428571428,69680.54869120053,248.33799999999997,85325.05896216043,253.41929751999137,0.2836679893359216,81912.056603674,1328.5714,12286.8084905511,1261.7902626206658,69680.54869120053,1261.7902626206658,0.0,0.7846742521062973
10000.0,-20.0,28000.0,0.2,0.21000000000000002,69680.54869120053,248.33799999999997,114770.79766560612,261.04487002845116,0.5341866041848865,110179.96575898187,1420.0,16526.994863847278,1250.9743057210194,69680.54869120053,1250.9743057210194,0.0,0.834287137939337
10000.0,-20.0,33000.0,0.2,0.2385714285714286,69680.54869120053,248.33799999999997,133174.66517378323,264.9562597054243,0.7305315969693478,127847.67856683189,1477.1428,19177.151785024784,1253.350551393097,69680.54869120053,1253.350551393097,0.0,0.8556781867464364
10000.0,-20.0,35000.0,0.2,0.25,69680.54869120053,248.33799999999997,140536.16758836075,266.3856546769279,0.8176351511289699,134914.72088482633,1500.0,20237.208132723947,1255.6016696419188,69680.54869120053,1255.6016696419188,0.0,0.8628043621154696
10000.0,-20.0,20000.0,0.5,0.16428571428571428,69680.54869120053,248.33799999999997,85325.05896216043,253.41929751999137,0.2836679893359216,81912.056603674,1328.5714,12286.8084905511,1262.6002407662945,69680.54869120053,1262.6002407662945,0.0,0.7764277341018576
10000.0,-20.0,28000.0,0.5,0.21000000000000002,69680.54869120053,248.33799999999997,114770.79766560612,261.04487002845116,0.5341866041848865,110179.96575898187,1420.0,16526.994863847278,1252.9905165589385,69680.54869120053,1252.9905165589385,0.0,0.827940687902971
10000.0,-20.0,33000.0,0.5,0.2385714285714286,69680.54869120053,248.33799999999997,133174.66517378323,264.9562597054243,0.7305315969693478,127847.67856683189,1477.1428,19177.151785024784,1255.9976084669902,69680.54869120053,1255.9976084669902,0.0,0.8501509683665126
10000.0,-20.0,35000.0,0.5,0.25,69680.54869120053,248.33799999999997,140536.16758836075,266.3856546769279,0.8176351511289699,134914.72088482633,1500.0,20237.208132723947,1258.4836097401019,69680.54869120053,1258.4836097401019,0.0,0.8575500610901046
10000.0,-20.0,20000.0,0.8,0.16428571428571428,69680.54869120053,248.33799999999997,85324.98049223001,253.4192742140563,0.2836677284580317,81911.98127254081,1328.5714,12286.797190881121,1263.4107192171355,69680.54869120053,1263.4107192171355,0.0,0.7675246452871664
10000.0,-20.0,28000.0,0.8,0.21000000000000002,69680.54869120053,248.33799999999997,114770.79766560612,261.04487002845116,0.5341866041848865,110179.96575898187,1420.0,16526.994863847278,1255.0080488647263,69680.54869120053,1255.0080488647263,0.0,0.8210887683946823
10000.0,-20.0,33000.0,0.8,0.2385714285714286,69680.54869120053,248.33799999999997,133174.66517378323,264.9562597054243,0.7305315969693478,127847.67856683189,1477.1428,19177.151785024784,1258.646933702604,69680.54869120053,1258.646933702604,0.0,0.8441835290536747
10000.0,-20.0,35000.0,0.8,0.25,69680.54869120053,248.33799999999997,140536.16758836075,266.3856546769279,0.8176351511289699,134914.72088482633,1500.0,20237.208132723947,1261.3682312944422,69680.54869120053,1261.3682312944422,0.0,0.8518772759122769
10000.0,0.0,20000.0,0.0,0.16428571428571428,69680.54869120053,268.33799999999997,85325.04440828167,273.8285171742146,0.2728919812948974,81912.0426319504,1328.5714,12286.80639479256,1261.2504503457983,69680.54869120053,1261.2504503457983,0.0,0.7760128853358494
10000.0,0.0,28000.0,0.0,0.21000000000000002,69680.54869120053,268.33799999999997,114770.76933126347,282.0682159168533,0.5138938401019707,110179.93855801292,1420.0,16526.99078370194,1249.6309780040822,69680.54869120053,1249.6309780040822,0.0,0.8266100281064275
10000.0,0.0,33000.0,0.0,0.2385714285714286,69680.54869120053,268.33799999999997,133174.6175583157,286.2946076508278,0.7027799793344961,127847.63285598306,1477.1428,19177.144928397458,1251.587220625249,69680.54869120053,1251.587220625249,0.0,0.8486959748136157
10000.0,0.0,35000.0,0.0,0.25,69680.54869120053,268.33799999999997,140536.11388481528,287.83911875409774,0.7865746063451611,134914.66932942267,1500.0,20237.2003994134,1253.6819877213106,69680.54869120053,1253.6819877213106,0.0,0.8560826993543627
